FullName,Party,Constituency,Term
Manikas Stefanos ,PA.SO.K. (Panhellenic Socialist Movement),Athens A,10
Manos Stefanos ,NEA DIMOKRATIA,Athens A,10
Mantelis Anastasios ,PA.SO.K. (Panhellenic Socialist Movement),Athens B,10
Mantouvalos Petros ,NEA DIMOKRATIA,Piraeus A,10
Markogiannakis Christos ,NEA DIMOKRATIA,Chania,10
Matis Athanasios ,PA.SO.K. (Panhellenic Socialist Movement),Trikala,10
Matzapetakis Stylianos ,PA.SO.K. (Panhellenic Socialist Movement),Iraklio,10
Mechmet Achmet ,PA.SO.K. (Panhellenic Socialist Movement),Rodopi,10
Meimarakis Evangelos - Vasileios ,NEA DIMOKRATIA,Athens B,10
Melas Panagiotis ,NEA DIMOKRATIA,Piraeus A,10
Michaloliakos Vasileios Ioanni,NEA DIMOKRATIA,Piraeus A,10
Mitsotakis Konstantinos ,NEA DIMOKRATIA,Athens B,10
Molyviatis Petros ,NEA DIMOKRATIA,State,10
Nakos Athanasios ,NEA DIMOKRATIA,Magnesia,10
Nasiokas Ektoras ,PA.SO.K. (Panhellenic Socialist Movement),Larissa,10
Neonakis Michalis ,PA.SO.K. (Panhellenic Socialist Movement),State,10
Nerantzis Anastasios ,NEA DIMOKRATIA,Piraeus B,10
Nikolaidis Ioannis ,PA.SO.K. (Panhellenic Socialist Movement),Evros,10
Nikolopoulos Nikolaos ,NEA DIMOKRATIA,Achaia,10
Niotis Grigorios ,PA.SO.K. (Panhellenic Socialist Movement),Piraeus B,10
Orfanos Georgios ,NEA DIMOKRATIA,Thessaloniki A,10
Pachtas Christos ,PA.SO.K. (Panhellenic Socialist Movement),Halkidiki,10
Pagkalos Theodoros ,PA.SO.K. (Panhellenic Socialist Movement),Of Attica (rest),10
Panagiotopoulos Georgios ,NEA DIMOKRATIA,Kavala,10
Panagiotopoulos Panagiotis (Panos) Panagioti,NEA DIMOKRATIA,Athens B,10
Papadellis Fragklinos ,PA.SO.K. (Panhellenic Socialist Movement),Lesvos,10
Papadimas Lampros ,PA.SO.K. (Panhellenic Socialist Movement),Fthiotida,10
Papadimitriou Elisavet (Elsa) ,NEA DIMOKRATIA,Argolida,10
Papadopoulos Alexandros (Alekos) Konstantinou,PA.SO.K. (Panhellenic Socialist Movement),Thesprotia,10
Papadopoulos Michalis ,NEA DIMOKRATIA,Kozani,10
Papadopoulos Stavros ,NEA DIMOKRATIA,Drama,10
Papageorgiou Georgios Ioanni,PA.SO.K. (Panhellenic Socialist Movement),Evia,10
Papageorgopoulos Eleftherios ,NEA DIMOKRATIA,Evia,10
Papailias Ilias ,PA.SO.K. (Panhellenic Socialist Movement),Of Attica (rest),10
Papaioannou Miltiadis ,PA.SO.K. (Panhellenic Socialist Movement),Athens B,10
Papakosta - Sidiropoulou Aikaterini ,NEA DIMOKRATIA,Athens B,10
Papaligouras Anastasios - Petros Panagioti,NEA DIMOKRATIA,Korinthia,10
Papandreou Georgios ,PA.SO.K. (Panhellenic Socialist Movement),Athens A,10
Papandreou Vasiliki (Vaso) ,PA.SO.K. (Panhellenic Socialist Movement),Athens B,10
Papanikolaou Eleftherios ,NEA DIMOKRATIA,Messinia,10
Papanikolas Vasileios ,PA.SO.K. (Panhellenic Socialist Movement),Dodecanese Islands,10
Papantoniou Ioannis (Giannos) ,PA.SO.K. (Panhellenic Socialist Movement),Athens A,10
Papariga Alexandra ,KOMMOUNISTIKO KOMMA ELLADAS,Athens B,10
Papathanasiou Giannis ,NEA DIMOKRATIA,State,10
Papathemelis Stylianos - Angelos ,PA.SO.K. (Panhellenic Socialist Movement),Thessaloniki A,10
Papazoi Elisavet ,PA.SO.K. (Panhellenic Socialist Movement),Cyclades,10
Papoulias Karolos ,PA.SO.K. (Panhellenic Socialist Movement),Ioannina,10
Papoutsis Christos ,PA.SO.K. (Panhellenic Socialist Movement),Athens A,10
Pappas Vasileios Nikolaou,NEA DIMOKRATIA,Halkidiki,10
Paschalidis Georgios ,PA.SO.K. (Panhellenic Socialist Movement),Pella,10
Pavlidis Aristotelis ,NEA DIMOKRATIA,Dodecanese Islands,10
Pavlopoulos Prokopios ,NEA DIMOKRATIA,Athens A,10
Petralia - Palli Fani Epameinonda,NEA DIMOKRATIA,Athens B,10
Petsalnikos Philippos ,PA.SO.K. (Panhellenic Socialist Movement),Kastoria,10
Pipergias Dimitrios ,PA.SO.K. (Panhellenic Socialist Movement),Evia,10
Polydoras Vyron ,NEA DIMOKRATIA,Athens B,10
Polyzos Evangelos ,NEA DIMOKRATIA,Pieria,10
Protopapas Christos ,PA.SO.K. (Panhellenic Socialist Movement),Athens B,10
Psacharopoulos Georgios ,NEA DIMOKRATIA,State,10
Regkouzas Adam Panagioti,NEA DIMOKRATIA,Thessaloniki B,10
Reppas Dimitrios ,PA.SO.K. (Panhellenic Socialist Movement),Arcadia,10
Salagiannis Nikolaos ,PA.SO.K. (Panhellenic Socialist Movement),Karditsa,10
Salagkoudis Georgios ,NEA DIMOKRATIA,Thessaloniki B,10
Salmas Marios ,NEA DIMOKRATIA,Aitoloαkarnania,10
Schoinaraki - Iliaki Evangelia ,PA.SO.K. (Panhellenic Socialist Movement),Iraklio,10
Sfyriou Kosmas ,PA.SO.K. (Panhellenic Socialist Movement),Dodecanese Islands,10
Sgouridis Panagiotis Sgouri,PA.SO.K. (Panhellenic Socialist Movement),Xanthi,10
Sifounakis Nikolaos ,PA.SO.K. (Panhellenic Socialist Movement),Lesvos,10
Simitis Kostas Georgiou,PA.SO.K. (Panhellenic Socialist Movement),Piraeus A,10
Sioufas Dimitrios ,NEA DIMOKRATIA,Karditsa,10
Skandalakis Panagiotis Nikolaou,NEA DIMOKRATIA,Lakonia,10
Skandalidis Konstantinos ,PA.SO.K. (Panhellenic Socialist Movement),Athens A,10
Skopelitis Stavros ,KOMMOUNISTIKO KOMMA ELLADAS,Lesvos,10
Skoulakis Emmanouil ,PA.SO.K. (Panhellenic Socialist Movement),Chania,10
Skrekas Theodoros ,NEA DIMOKRATIA,Trikala,10
Skyllakos Antonios ,KOMMOUNISTIKO KOMMA ELLADAS,Athens B,10
Smyrlis - Liakatas Christos ,PA.SO.K. (Panhellenic Socialist Movement),Aitoloαkarnania,10
Spiliopoulos Anastasios ,NEA DIMOKRATIA,Thessaloniki A,10
Spiliopoulos Konstantinos ,PA.SO.K. (Panhellenic Socialist Movement),Achaia,10
Spiliotopoulos Aristovoulos (Aris) ,NEA DIMOKRATIA,State,10
Spiliotopoulos Spilios ,NEA DIMOKRATIA,Achaia,10
Spyraki Christina ,PA.SO.K. (Panhellenic Socialist Movement),State,10
Spyriounis Kyriakos ,INDEPENDENT,Thessaloniki A,10
Spyropoulos Rovertos ,PA.SO.K. (Panhellenic Socialist Movement),Arcadia,10
Spyrou Spyridon ,NEA DIMOKRATIA,Corfu,10
Stergiou Ioanna ,Coalition of the Left and Progress,Of Attica (rest),10
Stolidis Sotirios ,PA.SO.K. (Panhellenic Socialist Movement),Xanthi,10
Stratakis Emmanouil ,PA.SO.K. (Panhellenic Socialist Movement),Iraklio,10
Stratilatis Nikolaos ,PA.SO.K. (Panhellenic Socialist Movement),Kavala,10
Striftaris Spyridon ,KOMMOUNISTIKO KOMMA ELLADAS,Aitoloαkarnania,10
Stylianidis Evripidis ,NEA DIMOKRATIA,Rodopi,10
Taliadouros Spyridon ,NEA DIMOKRATIA,Karditsa,10
Tassoulas Constantine An.,NEA DIMOKRATIA,Ioannina,10
Tatoulis Petros Panagioti,NEA DIMOKRATIA,Arcadia,10
Thanos Dimitrios ,PA.SO.K. (Panhellenic Socialist Movement),Fokida,10
Theodorou Christos ,PA.SO.K. (Panhellenic Socialist Movement),Evia,10
Thoma Maria ,PA.SO.K. (Panhellenic Socialist Movement),Achaia,10
Thomas Georgios ,PA.SO.K. (Panhellenic Socialist Movement),Achaia,10
Thomopoulos Ioannis ,PA.SO.K. (Panhellenic Socialist Movement),Argolida,10
Tryfonidis Georgios Panagioti,NEA DIMOKRATIA,Preveza,10
Tsaklidis Ioannis ,PA.SO.K. (Panhellenic Socialist Movement),Kavala,10
Tsekouras Ioannis ,PA.SO.K. (Panhellenic Socialist Movement),Preveza,10
Tsertikidis Pantelis ,PA.SO.K. (Panhellenic Socialist Movement),Pieria,10
Tsiartsionis Nikolaos Georgiou,NEA DIMOKRATIA,Kozani,10
Tsiogkas Dimitrios Vasileiou,KOMMOUNISTIKO KOMMA ELLADAS,Larissa,10
Tsiokas Theocharis (Charis) ,PA.SO.K. (Panhellenic Socialist Movement),Thessaloniki B,10
Tsiplakis Konstantinos ,NEA DIMOKRATIA,Serres,10
Tsiplakos Aristeidis ,NEA DIMOKRATIA,Viotia,10
Tsipras Vasilis ,NEA DIMOKRATIA,Evrytania,10
Tsitouridis Savvas Kyriakou,NEA DIMOKRATIA,Kilkis,10
Tsochatzopoulos Apostolos - Athanasios ,PA.SO.K. (Panhellenic Socialist Movement),Thessaloniki A,10
Tsoukatos Theodoros ,PA.SO.K. (Panhellenic Socialist Movement),State,10
Tsouri Elpida ,PA.SO.K. (Panhellenic Socialist Movement),Chios,10
Tsournos Georgios ,NEA DIMOKRATIA,Argolida,10
Tzamtzis Iordanis (Danis) ,NEA DIMOKRATIA,Pella,10
Tzanis Leonidas ,PA.SO.K. (Panhellenic Socialist Movement),Magnesia,10
Tzannetakis Tzannis ,NEA DIMOKRATIA,Athens B,10
Tzekis Angelos ,KOMMOUNISTIKO KOMMA ELLADAS,Thessaloniki B,10
Tziolas Eleftherios ,PA.SO.K. (Panhellenic Socialist Movement),Grevena,10
Vaïnas Ioannis ,PA.SO.K. (Panhellenic Socialist Movement),Aitoloαkarnania,10
Valyrakis Ioan. Iosif ,PA.SO.K. (Panhellenic Socialist Movement),Chania,10
Vardikos Pythagoras ,PA.SO.K. (Panhellenic Socialist Movement),Samos,10
Varinos Athanasios ,NEA DIMOKRATIA,Chios,10
Varvitsiotis Ioannis ,NEA DIMOKRATIA,State,10
Varvitsiotis Miltiadis ,NEA DIMOKRATIA,Athens B,10
Vasilakakis Vasileios ,PA.SO.K. (Panhellenic Socialist Movement),Serres,10
Vasileios Vasileios ,PA.SO.K. (Panhellenic Socialist Movement),Karditsa,10
Vasileiou Theofilos ,NEA DIMOKRATIA,Achaia,10
Vatheias Ioannis ,PA.SO.K. (Panhellenic Socialist Movement),Fthiotida,10
Venizelos Evangelos ,PA.SO.K. (Panhellenic Socialist Movement),Thessaloniki A,10
Verelis Christos ,PA.SO.K. (Panhellenic Socialist Movement),Aitoloαkarnania,10
Veryvakis Eleftherios ,PA.SO.K. (Panhellenic Socialist Movement),Athens B,10
Vlachopoulos Ilias ,PA.SO.K. (Panhellenic Socialist Movement),Kozani,10
Vlachos Georgios ,NEA DIMOKRATIA,Of Attica (rest),10
Vosnakis Christos ,PA.SO.K. (Panhellenic Socialist Movement),Pella,10
Vougias Spyridon ,PA.SO.K. (Panhellenic Socialist Movement),State,10
Voulgarakis Georgios ,NEA DIMOKRATIA,Athens A,10
Voulgaris Alexandros ,PA.SO.K. (Panhellenic Socialist Movement),Magnesia,10
Vrentzos Stavros ,PA.SO.K. (Panhellenic Socialist Movement),Iraklio,10
Vrettos Konstantinos (Ntinos) ,PA.SO.K. (Panhellenic Socialist Movement),Of Attica (rest),10
Xirotyri - Aikaterinari Asimina ,Coalition of the Left and Progress,Thessaloniki A,10
Zafeiropoulos Ioannis ,PA.SO.K. (Panhellenic Socialist Movement),Ileia,10
Zisi Rodoula ,PA.SO.K. (Panhellenic Socialist Movement),Magnesia,10
Zois Christos ,NEA DIMOKRATIA,Larissa,10
Achmet Ilchan S,NEA DIMOKRATIA,Rodopi,11
Adraktas Panagiotis ,NEA DIMOKRATIA,Ileia,11
Agorastos Konstantinos ,NEA DIMOKRATIA,Larissa,11
Aidonis Christos ,PA.SO.K. (Panhellenic Socialist Movement),Drama,11
Akrivakis Alexandros ,PA.SO.K. (Panhellenic Socialist Movement),Viotia,11
Alavanos Alexandros Nikolaou,SYNASPISMOS RIZOSPASTIKIS ARISTERAS,Athens B,11
Alevras Athanasios (Nasos) ,PA.SO.K. (Panhellenic Socialist Movement),Athens A,11
Alivizatos Petros - Pavlos ,NEA DIMOKRATIA,Kefallonia,11
Alogoskoufis Georgios Spyridon,NEA DIMOKRATIA,Athens A,11
Andreoulakos Apostolos ,NEA DIMOKRATIA,Athens B,11
Androulakis Dimitrios (Mimis) ,PA.SO.K. (Panhellenic Socialist Movement),State,11
Angelis Anestis ,NEA DIMOKRATIA,Kastoria,11
Angelopoulos Nikolaos ,NEA DIMOKRATIA,Aitoloαkarnania,11
Anomeritis Georgios ,PA.SO.K. (Panhellenic Socialist Movement),Athens B,11
Antonakopoulos Panagiotis ,PA.SO.K. (Panhellenic Socialist Movement),Ileia,11
Antoniou Antonia (Tonia) Nikolaos,PA.SO.K. (Panhellenic Socialist Movement),Fthiotida,11
Apostolaki Eleni-Maria (Milena) ,PA.SO.K. (Panhellenic Socialist Movement),Athens B,11
Arapoglou Chrysi ,PA.SO.K. (Panhellenic Socialist Movement),Thessaloniki A,11
Argyris Evangelos ,PA.SO.K. (Panhellenic Socialist Movement),Ioannina,11
Arsenis Gerasimos ,PA.SO.K. (Panhellenic Socialist Movement),Athens A,11
Avramopoulos Dimitrios ,NEA DIMOKRATIA,Athens A,11
Bantouvas Konstantinos Konstantinou,NEA DIMOKRATIA,Iraklio,11
Basiakos Evangelos ,NEA DIMOKRATIA,Viotia,11
Bekiris Michail ,NEA DIMOKRATIA,Achaia,11
Benaki - Psarouda Anna Evangelou,NEA DIMOKRATIA,Athens A,11
Benos Stavros - Ioannis ,PA.SO.K. (Panhellenic Socialist Movement),Athens B,11
Bernidaki - Alntous Eleftheria ,NEA DIMOKRATIA,State,11
Bezas Antonios ,NEA DIMOKRATIA,Thesprotia,11
Bolaris Markos ,PA.SO.K. (Panhellenic Socialist Movement),Serres,11
Bougas Ioannis Dimitriou,NEA DIMOKRATIA,Fokida,11
Bouras Athanasios ,NEA DIMOKRATIA,Of Attica (rest),11
Chaidos Christos ,PA.SO.K. (Panhellenic Socialist Movement),Trikala,11
Chaïtidis Evgenios ,NEA DIMOKRATIA,Serres,11
Chalkidis Michail ,NEA DIMOKRATIA,Imathia,11
Charakopoulos Maximos ,NEA DIMOKRATIA,Larissa,11
Chatzigakis Sotirios ,NEA DIMOKRATIA,Trikala,11
Chatzimichalis Nikolaos - Fotios ,PA.SO.K. (Panhellenic Socialist Movement),Larissa,11
Chomatas Ioannis ,NEA DIMOKRATIA,Cyclades,11
Choremis Anastasios ,PA.SO.K. (Panhellenic Socialist Movement),Korinthia,11
Chourmouziadis Georgios ,KOMMOUNISTIKO KOMMA ELLADAS,Thessaloniki A,11
Christodoulakis Nikos ,PA.SO.K. (Panhellenic Socialist Movement),Chania,11
Christofilogiannis Dimitrios Vasileiou,NEA DIMOKRATIA,Kavala,11
Christofilopoulou Paraskevi (Evi) ,PA.SO.K. (Panhellenic Socialist Movement),Of Attica (rest),11
Chrysis Vasileios ,NEA DIMOKRATIA,Dodecanese Islands,11
Chrysochoidis Michail ,PA.SO.K. (Panhellenic Socialist Movement),Imathia,11
Chytiris Tilemachos ,PA.SO.K. (Panhellenic Socialist Movement),Athens B,11
Dailakis Stavros ,NEA DIMOKRATIA,Drama,11
Damanaki Maria Theodorou,PA.SO.K. (Panhellenic Socialist Movement),State,11
Davakis Athanasios ,NEA DIMOKRATIA,Lakonia,11
Deiktakis Georgios ,NEA DIMOKRATIA,Iraklio,11
Dendias Nikolaos - Georgios ,NEA DIMOKRATIA,Corfu,11
Dermentzopoulos Alexandros ,NEA DIMOKRATIA,Evros,11
Diamantidis Ioannis ,PA.SO.K. (Panhellenic Socialist Movement),Piraeus B,11
Diamantopoulou Anna ,PA.SO.K. (Panhellenic Socialist Movement),State,11
Dimaras Ioannis ,PA.SO.K. (Panhellenic Socialist Movement),Athens B,11
Doukas Petros Georgiou,NEA DIMOKRATIA,Of Attica (rest),11
Dragasakis Ioannis ,SYNASPISMOS RIZOSPASTIKIS ARISTERAS,Athens B,11
Drivelegkas Ioannis ,PA.SO.K. (Panhellenic Socialist Movement),Halkidiki,11
Efthymiou Petros ,PA.SO.K. (Panhellenic Socialist Movement),Athens B,11
Eminidis Savvas ,PA.SO.K. (Panhellenic Socialist Movement),Kavala,11
Evert Miltiadis ,NEA DIMOKRATIA,State,11
Exarchos Vasileios ,PA.SO.K. (Panhellenic Socialist Movement),Larissa,11
Floridis Georgios ,PA.SO.K. (Panhellenic Socialist Movement),Kilkis,11
Folias Christos Sotiriou,NEA DIMOKRATIA,Grevena,11
Fotiadis Apostolos ,PA.SO.K. (Panhellenic Socialist Movement),Evros,11
Fotiadis Ilias ,NEA DIMOKRATIA,Imathia,11
Fountoukidou - Theodoridou Parthena ,NEA DIMOKRATIA,Pella,11
Fousas Antonios ,NEA DIMOKRATIA,Ioannina,11
Fragkiadoulakis Emmanouil ,PA.SO.K. (Panhellenic Socialist Movement),Iraklio,11
Galamatis Dimitrios ,NEA DIMOKRATIA,Thessaloniki B,11
Garoufalias Georgios ,NEA DIMOKRATIA,Larissa,11
Geitonas Konstantinos ,PA.SO.K. (Panhellenic Socialist Movement),Athens B,11
Georgakopoulos Dimitrios ,PA.SO.K. (Panhellenic Socialist Movement),Ileia,11
Georgiadis Nikolaos ,NEA DIMOKRATIA,Corfu,11
Geranidis Vasileios ,PA.SO.K. (Panhellenic Socialist Movement),Thessaloniki B,11
Giakoumatos Gerasimos ,NEA DIMOKRATIA,Athens B,11
Giannakis Michail ,NEA DIMOKRATIA,Viotia,11
Giannakou Mariori (Marietta) Panagiotis,NEA DIMOKRATIA,Athens A,11
Giannellis - Theodosiadis Ioannis ,NEA DIMOKRATIA,Lesvos,11
Giannopoulos Argyrios ,PA.SO.K. (Panhellenic Socialist Movement),Athens B,11
Giannopoulos Athanasios ,NEA DIMOKRATIA,Fthiotida,11
Gkatzis Nikolaos Filippou,KOMMOUNISTIKO KOMMA ELLADAS,Magnesia,11
Gkerekou Angeliki ,PA.SO.K. (Panhellenic Socialist Movement),Corfu,11
Gkioulekas Konstantinos ,NEA DIMOKRATIA,Thessaloniki A,11
Grigorakos Leonidas ,PA.SO.K. (Panhellenic Socialist Movement),Lakonia,11
Ioannidis Ioannis ,NEA DIMOKRATIA,Thessaloniki A,11
Kaiserlis Konstantinos ,PA.SO.K. (Panhellenic Socialist Movement),Dodecanese Islands,11
Kaklamanis Apostolos ,PA.SO.K. (Panhellenic Socialist Movement),Athens B,11
Kalafatis Stavros Athanasios,NEA DIMOKRATIA,Thessaloniki A,11
Kalantzakou Sofia ,NEA DIMOKRATIA,Messinia,11
Kalantzis Georgios ,NEA DIMOKRATIA,Kavala,11
Kallioras Ilias ,NEA DIMOKRATIA,Fthiotida,11
Kalogiannis Stavros ,NEA DIMOKRATIA,Ioannina,11
Kalogirou Christiana ,NEA DIMOKRATIA,Lesvos,11
Kalos Georgios ,NEA DIMOKRATIA,Piraeus A,11
Kammenos Panagiotis (Panos) ,NEA DIMOKRATIA,Athens B,11
Kanelli Garyfallia (Liana) ,KOMMOUNISTIKO KOMMA ELLADAS,Athens A,11
Kanellopoulou Krinio ,NEA DIMOKRATIA,Ileia,11
Karagkounis Andreas ,NEA DIMOKRATIA,Aitoloαkarnania,11
Karamanlis Konstantinos ,NEA DIMOKRATIA,Thessaloniki A,11
Karamarios Anastasios Emmanouil,NEA DIMOKRATIA,Dodecanese Islands,11
Karampinas Konstantinos ,NEA DIMOKRATIA,Arta,11
Karaoglou Theodoros ,NEA DIMOKRATIA,Thessaloniki B,11
Karasmanis Georgios ,NEA DIMOKRATIA,Pella,11
Karchimakis Michail ,PA.SO.K. (Panhellenic Socialist Movement),Lasithi,11
Karipidis Anastasios ,NEA DIMOKRATIA,Serres,11
karpouzas Antonios Evangelou,NEA DIMOKRATIA,Pieria,11
Karras Kostas ,NEA DIMOKRATIA,Athens B,11
Karydi Chrysi ,NEA DIMOKRATIA,State,11
Kasapidis Georgios ,NEA DIMOKRATIA,Kozani,11
Kasimis Theodoros Panagioti,NEA DIMOKRATIA,Athens B,11
Kastanidis Charalampos ,PA.SO.K. (Panhellenic Socialist Movement),Thessaloniki A,11
Katseli Eleonora (Nora) ,PA.SO.K. (Panhellenic Socialist Movement),Athens B,11
Katsifaras Apostolos ,PA.SO.K. (Panhellenic Socialist Movement),Achaia,11
Katsigiannis Athanasios ,NEA DIMOKRATIA,Of Attica (rest),11
Katsikis Theodoros ,NEA DIMOKRATIA,Of Attica (rest),11
Katsilieris Petros ,PA.SO.K. (Panhellenic Socialist Movement),Messinia,11
Kedikoglou Symeon (Simos) ,NEA DIMOKRATIA,Evia,11
Kefalogiannis Emmanouil ,NEA DIMOKRATIA,Iraklio,11
Kefalogiannis Ioannis ,NEA DIMOKRATIA,Rethymno,11
Kegkeroglou Vasileios ,PA.SO.K. (Panhellenic Socialist Movement),Iraklio,11
Keletsis Stavros ,NEA DIMOKRATIA,Evros,11
Kiltidis Konstantinos ,NEA DIMOKRATIA,Kilkis,11
Koliopanos Theodoros ,PA.SO.K. (Panhellenic Socialist Movement),Arta,11
Kollia-Tsaroucha Maria ,NEA DIMOKRATIA,Serres,11
Kolozof Orestis ,KOMMOUNISTIKO KOMMA ELLADAS,Athens B,11
Konstantaras Dimitrios ,NEA DIMOKRATIA,Athens A,11
Konstantopoulos - Nikolaos ,SYNASPISMOS RIZOSPASTIKIS ARISTERAS,Athens A,11
Konstantopoulos Georgios ,NEA DIMOKRATIA,Pieria,11
Kontogiannis Georgios ,NEA DIMOKRATIA,Ileia,11
Kontos Alexandros ,NEA DIMOKRATIA,Xanthi,11
Kontou Maro ,NEA DIMOKRATIA,Athens A,11
Korka - Konsta Athina ,NEA DIMOKRATIA,Korinthia,11
Kortsaris Nikolaos ,NEA DIMOKRATIA,Florina,11
Kosionis Panagiotis ,KOMMOUNISTIKO KOMMA ELLADAS,Achaia,11
Kosmidis Sokratis ,PA.SO.K. (Panhellenic Socialist Movement),State,11
Kostopoulos Apostolos ,NEA DIMOKRATIA,Aitoloαkarnania,11
Koulouris Kimon ,INDEPENDENT,Athens B,11
Kountoura Elena ,NEA DIMOKRATIA,Athens A,11
Kourakos Ioannis ,NEA DIMOKRATIA,Piraeus B,11
Kouselas Dimitrios ,PA.SO.K. (Panhellenic Socialist Movement),Messinia,11
Koutsoukos Giannis ,PA.SO.K. (Panhellenic Socialist Movement),Ileia,11
Kouvelis Fotios - Fanourios ,SYNASPISMOS RIZOSPASTIKIS ARISTERAS,Athens B,11
Lampropoulos Ioannis ,NEA DIMOKRATIA,Messinia,11
Legkas Nikolaos ,NEA DIMOKRATIA,Trikala,11
Leontaridis Theofilos ,NEA DIMOKRATIA,Serres,11
Leventis Athanasios ,SYNASPISMOS RIZOSPASTIKIS ARISTERAS,Of Attica (rest),11
Lianis Georgios ,PA.SO.K. (Panhellenic Socialist Movement),Florina,11
Liapis Michalis - Giorgos Konstantinou,NEA DIMOKRATIA,Athens B,11
Liaskos Anastasios Ioanni,NEA DIMOKRATIA,Evia,11
Lintzeris Dimitrios ,PA.SO.K. (Panhellenic Socialist Movement),Piraeus B,11
Lotidis Lazaros ,PA.SO.K. (Panhellenic Socialist Movement),Kozani,11
Loverdos Andreas ,PA.SO.K. (Panhellenic Socialist Movement),Athens B,11
Lykourentzos Andreas ,NEA DIMOKRATIA,Arcadia,11
Magkriotis Ioannis ,PA.SO.K. (Panhellenic Socialist Movement),Thessaloniki A,11
Makri Zoi (Zetta) ,NEA DIMOKRATIA,Magnesia,11
Makrypidis Andreas ,PA.SO.K. (Panhellenic Socialist Movement),Aitoloαkarnania,11
Manginas Vasileios Nikolaou,NEA DIMOKRATIA,Aitoloαkarnania,11
Maniatis Ioannis ,PA.SO.K. (Panhellenic Socialist Movement),Argolida,11
Manolakis Angelos ,PA.SO.K. (Panhellenic Socialist Movement),Korinthia,11
Manolia Chrysanthi ,PA.SO.K. (Panhellenic Socialist Movement),Rodopi,11
Manolis Ioannis ,NEA DIMOKRATIA,Argolida,11
Manos Stefanos ,INDEPENDENT,State,11
Manousou - Binopoulou Ariadni ,NEA DIMOKRATIA,Cyclades,11
Mantouvalos Petros ,INDEPENDENT,Piraeus A,11
Markogiannakis Christos ,NEA DIMOKRATIA,Chania,11
Markopoulos Konstantinos ,NEA DIMOKRATIA,Evia,11
Matzapetakis Stylianos ,PA.SO.K. (Panhellenic Socialist Movement),Iraklio,11
Meimarakis Evangelos - Vasileios ,NEA DIMOKRATIA,Athens B,11
Melas Panagiotis ,NEA DIMOKRATIA,Piraeus A,11
Merentiti Athanasia (Soula) ,PA.SO.K. (Panhellenic Socialist Movement),Trikala,11
Michaloliakos Vasileios Ioanni,NEA DIMOKRATIA,Piraeus A,11
Mitsotakis Kyriakos ,NEA DIMOKRATIA,Athens B,11
Moraitis Athanasios (Thanos) ,PA.SO.K. (Panhellenic Socialist Movement),Aitoloαkarnania,11
Mousionis Aristeidis ,PA.SO.K. (Panhellenic Socialist Movement),Serres,11
Nakos Athanasios ,NEA DIMOKRATIA,Magnesia,11
Nasiokas Ektoras ,PA.SO.K. (Panhellenic Socialist Movement),Larissa,11
Nerantzis Anastasios ,NEA DIMOKRATIA,Piraeus B,11
Nikiforakis Stylianos Georgiou,NEA DIMOKRATIA,Chania,11
Nikolaidou Varvara (Vera) ,KOMMOUNISTIKO KOMMA ELLADAS,Piraeus B,11
Nikolopoulos Nikolaos ,NEA DIMOKRATIA,Achaia,11
Niotis Grigorios ,PA.SO.K. (Panhellenic Socialist Movement),Piraeus B,11
Ntolios Georgios ,PA.SO.K. (Panhellenic Socialist Movement),Evros,11
Oikonomou Vasileios ,PA.SO.K. (Panhellenic Socialist Movement),Of Attica (rest),11
Orfanos Georgios ,NEA DIMOKRATIA,Thessaloniki A,11
Othonas Emmanouil ,PA.SO.K. (Panhellenic Socialist Movement),Rethymno,11
Pagkalos Theodoros ,PA.SO.K. (Panhellenic Socialist Movement),Of Attica (rest),11
Panagiotopoulos Panagiotis (Panos) Panagioti,NEA DIMOKRATIA,Athens B,11
Pantelaki Elpida ,KOMMOUNISTIKO KOMMA ELLADAS,Piraeus A,11
Pantoulas Michail ,PA.SO.K. (Panhellenic Socialist Movement),Ioannina,11
Papachristos Evangelos ,PA.SO.K. (Panhellenic Socialist Movement),Preveza,11
Papadimas Lampros ,PA.SO.K. (Panhellenic Socialist Movement),Fthiotida,11
Papadimitriou Elisavet (Elsa) ,NEA DIMOKRATIA,Argolida,11
Papadopoulos Alexandros (Alekos) Konstantinou,PA.SO.K. (Panhellenic Socialist Movement),Athens B,11
Papadopoulos Michalis ,NEA DIMOKRATIA,Kozani,11
Papageorgiou Athanasios ,PA.SO.K. (Panhellenic Socialist Movement),Pieria,11
Papageorgiou Georgios Ioanni,NEA DIMOKRATIA,Arta,11
Papageorgiou Georgios Ioanni,PA.SO.K. (Panhellenic Socialist Movement),Evia,11
Papailias Ilias ,PA.SO.K. (Panhellenic Socialist Movement),Of Attica (rest),11
Papaioannou Miltiadis ,PA.SO.K. (Panhellenic Socialist Movement),Athens B,11
Papakosta - Sidiropoulou Aikaterini ,NEA DIMOKRATIA,Athens B,11
Papaligouras Anastasios - Petros Panagioti,NEA DIMOKRATIA,Korinthia,11
Papandreou Georgios ,PA.SO.K. (Panhellenic Socialist Movement),Thessaloniki A,11
Papandreou Vasiliki (Vaso) ,PA.SO.K. (Panhellenic Socialist Movement),Athens B,11
Papantoniou Ioannis (Giannos) ,INDEPENDENT,Athens A,11
Papariga Alexandra ,KOMMOUNISTIKO KOMMA ELLADAS,Athens B,11
Papathanasiou Giannis ,NEA DIMOKRATIA,Athens B,11
