DATAFLOW,LAST UPDATE,freq,citizen,sex,unit,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,DE,2012,2095,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,DE,2013,2485,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,DE,2014,4400,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,DE,2015,22255,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,DE,2016,35935,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,DE,2017,9085,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,DE,2018,4085,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,DE,2019,2690,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,DE,2020,2230,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,DE,2021,3250,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,DK,2008,300,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,DK,2009,520,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,DK,2010,410,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,DK,2011,270,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,DK,2012,355,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,DK,2013,350,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,DK,2014,815,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,DK,2015,2125,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,DK,2016,1185,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,DK,2017,460,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,DK,2018,240,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,DK,2019,195,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,DK,2020,145,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,DK,2021,115,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,EE,2008,0,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,EE,2009,0,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,EE,2010,0,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,EE,2011,0,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,EE,2012,0,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,EE,2013,5,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,EE,2014,0,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,EE,2015,0,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,EE,2016,0,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,EE,2017,0,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,EE,2018,0,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,EE,2019,0,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,EE,2020,0,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,EE,2021,0,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,EL,2008,295,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,EL,2009,40,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,EL,2010,145,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,EL,2011,60,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,EL,2012,75,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,EL,2013,325,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,EL,2014,440,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,EL,2015,420,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,EL,2016,2350,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,EL,2017,2455,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,EL,2018,2640,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,EL,2019,3330,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,EL,2020,2800,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,EL,2021,2275,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,ES,2008,10,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,ES,2009,20,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,ES,2010,15,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,ES,2011,10,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,ES,2012,15,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,ES,2013,10,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,ES,2014,15,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,ES,2015,25,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,ES,2016,30,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,ES,2017,20,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,ES,2018,75,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,ES,2019,100,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,ES,2020,45,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,ES,2021,45,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,EU27_2020,2012,11420,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,EU27_2020,2013,11460,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,EU27_2020,2014,21205,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,EU27_2020,2015,91955,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,EU27_2020,2016,60075,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,EU27_2020,2017,29195,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,EU27_2020,2018,16785,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,EU27_2020,2019,14115,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,EU27_2020,2020,13550,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,EU27_2020,2021,25130,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,FI,2008,705,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,FI,2009,535,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,FI,2010,315,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,FI,2011,150,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,FI,2012,165,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,FI,2013,160,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,FI,2014,195,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,FI,2015,2535,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,FI,2016,370,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,FI,2017,175,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,FI,2018,105,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,FI,2019,95,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,FI,2020,145,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,FI,2021,135,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,FR,2008,410,
