"","...1","location_name","res_date","res_price","res_price_sqr","res_sqr","construction_year","levels","bedrooms","bathrooms","deleted","deleted_at","status","energyclass","auto_heating","solar","cooling","safe_door","gas","fireplace","furniture","student","parking"
"400",459,"Kallithea",2022-03-26,320000,3048,105,2022,"1st",3,1,1,2022-04-28,"Newly built","A",1,1,0,1,1,1,0,0,NA
"401",460,"Kallithea",2022-06-08,70000,1556,45,1975,"Ground",1,1,1,2022-06-10,NA,"C",0,1,0,1,0,0,0,0,NA
"402",462,"Kallithea",2022-02-01,250000,3571,70,1990,"3rd",1,NA,0,NA,"Renovated","B",1,0,0,1,0,0,1,0,NA
"403",463,"Kallithea",2021-11-29,155000,1632,95,1978,"3rd",2,1,1,2022-03-18,"Good","E",1,0,1,1,1,0,0,0,NA
"404",464,"Kallithea",2022-03-22,1e+05,1961,51,1975,"1st",2,1,1,2022-03-24,"Renovated","G",0,0,0,0,0,0,0,0,NA
"405",465,"Kallithea",2022-06-02,61000,1173,52,1970,"Ground",1,1,1,2022-06-10,"Good","F",0,0,0,0,0,0,0,0,NA
"406",466,"Kallithea",2022-04-06,120000,2308,52,2022,"Ground",1,1,1,2022-06-10,"Under construction","Pending",0,1,0,1,1,0,0,0,NA
"407",467,"Kallithea",2022-05-10,250000,1429,175,1976,"Ground",2,1,1,2022-05-18,"Good","G",0,0,0,0,0,0,0,0,NA
"408",468,"Kallithea",2022-02-09,95000,2317,41,NA,"Other",1,1,0,NA,"Other","Pending",0,0,0,1,0,0,0,0,NA
"409",469,"Kallithea",2022-06-01,173940,2600,67,NA,"Ground",NA,1,1,2022-06-02,"Under construction","A+",0,0,0,0,0,0,0,0,NA
"410",470,"Kallithea",2015-01-27,150000,1531,98,1971,"3rd",3,1,1,2022-06-10,NA,NA,1,0,0,1,0,0,0,0,NA
"411",471,"Kallithea",2022-05-10,275000,2750,100,1983,"4th",2,2,1,2022-06-07,"Excellent","Pending",0,1,1,1,0,1,1,0,NA
"412",472,"Kallithea",2022-04-18,225000,2647,85,1995,"2nd",2,1,1,2022-06-02,"Renovated","E",1,0,1,1,0,1,0,0,NA
"413",473,"Kallithea",2022-05-31,46000,868,53,1967,"Semibasement",1,NA,0,NA,NA,"Excemption",0,0,0,0,0,0,0,0,NA
"414",474,"Kallithea",2022-05-21,150000,1923,78,1974,"3rd",1,NA,1,2022-06-10,"Renovated","Pending",0,0,0,1,0,0,0,0,NA
"415",475,"Kallithea",2022-03-27,240000,3158,76,2022,"4th",2,1,1,2022-04-05,"Under construction","A",1,0,0,1,0,0,0,0,NA
"416",478,"Kallithea",2022-04-16,510000,3923,130,2022,"6th",3,1,1,2022-05-07,"Under construction","A",1,0,0,1,0,1,0,0,NA
"417",479,"Kallithea",2021-09-10,168000,1826,92,1981,"2nd",2,1,0,NA,NA,NA,1,1,0,1,0,0,0,1,NA
"418",480,"Kallithea",2022-02-15,140000,2478,57,1968,"4th",1,1,1,2022-04-01,"Good","F",1,0,0,0,0,0,0,0,NA
"419",481,"Kallithea",2022-04-14,155000,1325,117,1968,"1st",2,1,1,2022-05-07,"Excellent","F",1,0,0,0,1,0,0,0,NA
"420",482,"Kallithea",2021-09-29,245000,2094,117,1975,"4th",3,1,1,2022-06-10,"Renovated","D",1,0,1,1,0,0,1,0,NA
"421",483,"Kallithea",2022-06-05,115000,2300,50,1968,"2nd",1,1,1,2022-06-07,NA,"F",0,0,0,0,0,0,0,0,NA
"422",484,"Kallithea",2022-04-05,140000,1489,94,1975,"3rd",2,1,1,2022-04-07,"Good","F",1,0,0,0,0,0,0,0,NA
"423",485,"Kallithea",2022-04-25,95000,1284,74,1969,"2nd",2,1,1,2022-04-26,"Newly built","F",0,0,0,0,0,0,0,0,NA
"424",486,"Kallithea",2020-03-19,170000,2329,73,1960,"2nd",2,1,1,2022-06-10,"Excellent","G",1,0,1,0,0,0,0,0,NA
"425",488,"Kallithea",2022-05-19,85000,1371,62,1971,"Ημιώροφος",1,1,1,2022-05-24,"Good","D",0,1,1,1,0,0,0,0,NA
"426",489,"Kallithea",2021-06-02,380000,3140,121,2021,"5th",3,2,1,2022-05-03,"Newly built","A+",1,1,1,1,1,1,0,0,NA
"427",490,"Kallithea",2022-02-15,275000,2750,100,2020,"2nd",3,NA,1,2022-06-10,"Under construction","A",1,0,0,0,1,0,0,0,NA
"428",491,"Kallithea",2022-04-18,255000,2277,112,1985,"5th",3,1,1,2022-04-20,"Good","F",1,0,1,1,0,0,0,0,NA
"429",493,"Kallithea",2021-11-26,360000,3077,117,2021,"3rd",3,1,0,NA,"Newly built","A",0,0,0,1,0,0,0,0,NA
"430",494,"Kallithea",2022-06-03,370000,3458,107,2021,"5th",3,1,1,2022-06-07,"Newly built","A",0,1,0,0,0,0,0,0,"Κλειστό parking"
"431",495,"Kallithea",2022-04-03,420000,2763,152,2022,"1st",4,2,1,2022-04-17,"Under construction","A",1,0,0,1,0,0,0,0,NA
"432",496,"Kallithea",2021-11-23,68000,1236,55,1965,"3rd",1,1,1,2022-03-24,"Needs renovation","G",0,0,0,0,0,0,0,0,NA
"433",497,"Kallithea",2022-05-07,50000,1515,33,1982,"Ground",1,NA,1,2022-06-10,"Good","E",0,0,0,1,0,0,0,0,NA
"434",498,"Kallithea",2022-05-19,280000,1931,145,1970,"3rd",2,1,1,2022-06-08,"Good","E",0,0,0,1,0,0,0,0,NA
"435",499,"Kallithea",2022-05-21,105000,1810,58,1972,"2nd",1,1,1,2022-06-10,NA,NA,0,1,1,1,0,0,1,1,NA
"436",501,"Kallithea",2022-05-16,165000,2171,76,1978,"4th",2,1,1,2022-05-25,"Good","E",0,1,0,1,0,0,0,0,NA
"437",502,"Kallithea",2022-06-02,180000,1765,102,1975,"1st",3,1,1,2022-06-10,"Good","Pending",0,0,0,1,0,0,0,0,NA
"438",503,"Kallithea",2022-04-12,238000,2736,87,2022,"1st",2,1,1,2022-04-14,"Under construction","A+",0,1,1,1,0,0,0,1,NA
"439",504,"Kallithea",2022-03-28,273000,2730,100,1995,"5th",2,1,0,NA,"Excellent","E",1,1,1,1,0,1,0,0,NA
"440",505,"Kallithea",2022-06-02,175000,1882,93,1969,"4th",2,1,0,NA,"Renovated","B",0,0,1,1,0,0,0,0,NA
"441",506,"Kallithea",2022-06-08,250000,2941,85,2002,"2nd",2,1,1,2022-06-10,"Renovated","Pending",0,1,0,1,0,0,0,0,NA
"442",507,"Kallithea",2022-05-24,185000,3426,54,2022,"3rd",1,1,1,2022-05-25,"Under construction","A",0,0,0,1,0,0,0,0,NA
"443",508,"Kallithea",2022-05-05,150000,2083,72,1979,"1st",2,1,1,2022-05-10,"Good","C",0,0,1,1,0,0,0,0,NA
"444",509,"Kallithea",2019-05-29,350000,3977,88,2004,"8th",1,1,1,2022-06-10,"Newly built",NA,1,1,1,1,0,0,1,0,NA
"445",510,"Kallithea",2022-05-24,2e+05,3077,65,2021,"1st",2,1,1,2022-06-04,"Newly built","A",0,1,0,0,0,0,0,0,"Ανοιχτό parking"
"446",511,"Kallithea",2022-04-27,245000,2816,87,1979,"1st",3,1,0,NA,"Renovated","F",0,1,0,1,0,0,0,0,NA
"447",512,"Kallithea",2022-05-05,160000,2000,80,1982,"5th",3,1,1,2022-05-07,"Excellent","D",0,1,0,1,0,0,0,0,NA
"448",513,"Kallithea",2021-12-01,235000,2500,94,1978,"Other",2,1,0,NA,NA,"B",0,1,0,1,0,0,0,0,NA
"449",514,"Kallithea",2022-02-26,340000,3178,107,2022,"5th",3,1,1,2022-03-17,"Under construction","A",1,0,0,1,0,1,0,0,NA
"450",515,"Kallithea",2022-05-08,360000,3130,115,2021,"4th",3,1,1,2022-05-23,"Newly built","B+",0,0,0,1,0,1,0,0,NA
